pi	EigenGWAS
Solyc01g098430	Solyc01g100060
Solyc01g098440	Solyc01g100070
Solyc01g098450	Solyc01g100080
Solyc01g098460	Solyc01g100090
Solyc01g098470	Solyc01g100100
Solyc01g098480	Solyc01g100110
Solyc01g098490	Solyc01g100120
Solyc01g098500	Solyc01g100130
Solyc01g098510	Solyc01g100140
Solyc01g098520	Solyc01g100150
Solyc01g098530	Solyc01g100160
Solyc01g098540	Solyc01g100170
Solyc01g098550	Solyc01g100180
Solyc01g099030	Solyc01g100190
Solyc01g099040	Solyc01g100200
Solyc01g099050	Solyc01g100210
Solyc01g099060	Solyc01g100220
Solyc01g099070	Solyc01g100230
Solyc01g099080	Solyc01g100240
Solyc01g099090	Solyc01g100250
Solyc01g099100	Solyc01g100260
Solyc01g099110	Solyc01g100270
Solyc01g099120	Solyc01g100280
Solyc01g099130	Solyc01g100290
Solyc01g099140	Solyc01g102340
Solyc01g099150	Solyc01g102350
Solyc01g099160	Solyc01g102360
Solyc01g102700	Solyc01g102370
Solyc01g102710	Solyc01g102380
Solyc01g102720	Solyc01g102390
Solyc01g102730	Solyc01g102400
Solyc01g102740	Solyc01g102410
Solyc01g102750	Solyc01g102420
Solyc01g102760	Solyc01g102430
Solyc01g102770	Solyc01g102750
Solyc01g102790	Solyc01g102760
Solyc01g102800	Solyc01g102770
Solyc01g102810	Solyc01g102790
Solyc01g102820	Solyc01g102800
Solyc01g102830	Solyc01g102810
Solyc01g102840	Solyc01g102820
Solyc01g102850	Solyc01g102830
Solyc01g102860	Solyc01g102840
Solyc01g102870	Solyc01g102850
Solyc01g102880	Solyc01g102860
Solyc01g102890	Solyc01g102870
Solyc01g102900	Solyc01g102880
Solyc01g102910	Solyc01g102890
Solyc01g102920	Solyc01g102900
Solyc01g102930	Solyc01g102910
Solyc01g102940	Solyc01g102920
Solyc01g102950	Solyc01g102930
Solyc01g102960	Solyc01g102940
Solyc01g102970	Solyc01g102950
Solyc01g102980	Solyc01g102960
Solyc01g102990	Solyc01g102970
Solyc01g103000	Solyc01g106070
Solyc01g103010	Solyc01g106080
Solyc01g103020	Solyc01g106090
Solyc01g103030	Solyc01g106100
Solyc01g103040	Solyc01g106120
Solyc01g103050	Solyc01g106110
Solyc01g103060	Solyc01g106130
Solyc01g103070	Solyc01g106140
Solyc01g103080	Solyc01g106150
Solyc01g103090	Solyc01g106160
Solyc01g103100	Solyc01g106170
Solyc01g103110	Solyc01g106180
Solyc01g103120	Solyc01g106190
Solyc01g103130	Solyc01g106200
Solyc01g103140	Solyc01g106210
Solyc01g103150	Solyc01g106220
Solyc01g103160	Solyc01g106230
Solyc01g103170	Solyc01g106240
Solyc01g103180	Solyc01g106250
Solyc01g103190	Solyc01g106260
Solyc01g103200	Solyc01g106270
Solyc01g103210	Solyc01g106280
Solyc01g103220	Solyc01g106290
Solyc01g103230	Solyc01g112360
Solyc01g103240	Solyc01g112370
Solyc01g103250	Solyc01g112380
Solyc01g103260	Solyc01g112400
Solyc01g103270	Solyc01g113430
Solyc01g103280	Solyc01g113450
Solyc01g103290	Solyc01g113460
Solyc01g103300	Solyc01g113470
Solyc01g103320	Solyc01g113480
